shape_id,lat,lon,shape_pt_sequence,shape_dist_traveled
510_0_323,32.56973648,-117.06721497,20008,2.840000
510_0_323,32.56973648,-117.06721497,30001,2.840000
510_0_323,32.57611084,-117.07730865,30002,3.574000
510_0_323,32.57834244,-117.08087921,30003,3.833000
510_0_323,32.57868195,-117.08135223,30004,3.870000
510_0_323,32.57897949,-117.08171844,30005,3.899000
510_0_323,32.57933044,-117.08206940,30006,3.931000
510_0_323,32.57995605,-117.08261108,30007,3.984000
510_0_323,32.58021164,-117.08279419,30008,4.005000
510_0_323,32.58075333,-117.08312225,30009,4.047000
510_0_323,32.58106995,-117.08328247,30010,4.071000
510_0_323,32.58144760,-117.08344269,30011,4.098000
510_0_323,32.58185196,-117.08358002,30012,4.127000
510_0_323,32.58219528,-117.08366394,30013,4.151000
510_0_323,32.58263016,-117.08373260,30014,4.182000
510_0_323,32.58315277,-117.08377838,30015,4.218000
510_0_323,32.58533859,-117.08379364,30016,4.368000
510_0_323,32.58533859,-117.08379364,40001,4.368000
510_0_323,32.58617783,-117.08379364,40002,4.426000
510_0_323,32.58737564,-117.08377075,40003,4.509000
510_0_323,32.59623337,-117.08384705,40004,5.119000
510_0_323,32.59675980,-117.08383179,40005,5.155000
510_0_323,32.59764099,-117.08383942,40006,5.216000
510_0_323,32.59859085,-117.08387756,40007,5.282000
510_0_323,32.59946442,-117.08399963,40008,5.342000
510_0_323,32.60031509,-117.08416748,40009,5.402000
510_0_323,32.60122681,-117.08438873,40010,5.466000
510_0_323,32.60212326,-117.08467865,40011,5.530000
510_0_323,32.60269547,-117.08489990,40012,5.572000
510_0_323,32.60269547,-117.08489990,50001,5.572000
510_0_323,32.61192322,-117.08850861,50002,6.241000
510_0_323,32.61540985,-117.08984375,50003,6.494000
510_0_323,32.61888504,-117.09120178,50004,6.746000
510_0_323,32.62008667,-117.09163666,50005,6.833000
510_0_323,32.62934494,-117.09525299,50006,7.505000
510_0_323,32.63018799,-117.09558868,50007,7.566000
510_0_323,32.63018799,-117.09558868,60001,7.566000
510_0_323,32.63105392,-117.09593201,60002,7.629000
510_0_323,32.63277817,-117.09658051,60003,7.754000
510_0_323,32.63623810,-117.09794617,60004,8.005000
510_0_323,32.63917542,-117.09909058,60005,8.218000
510_0_323,32.63917542,-117.09909058,70001,8.218000
510_0_323,32.64234543,-117.10032654,70002,8.448000
510_0_323,32.64270401,-117.10042572,70003,8.474000
510_0_323,32.64317322,-117.10050201,70004,8.506000
510_0_323,32.64607620,-117.10086823,70005,8.707000
510_0_323,32.64804077,-117.10121155,70006,8.844000
510_0_323,32.64881134,-117.10138702,70007,8.898000
510_0_323,32.64951324,-117.10161591,70008,8.948000
510_0_323,32.65045547,-117.10198975,70009,9.017000
510_0_323,32.65140915,-117.10234070,70010,9.086000
510_0_323,32.65268707,-117.10289764,70011,9.180000
510_0_323,32.65314865,-117.10321808,70012,9.216000
